"Sex" "Canopy" "Shrub" "Effort" "Size" "Length" "Natural" "Forest"
"female" 0.27 0.43 18 25 2.45 "yes" "Chawia"
"female" 0.64 0.57 22 40 2.07 "no" "Ngangao S"
"male" 0.86 0.35 24 14 1.49 "yes" "Ngangao N"
"male" 0.45 0.39 26 30 1.78 "yes" "Ngangao N"
"female" 0.63 0.78 23 23 1.84 "yes" "Ngangao N"
"female" 0.88 0.67 14 18 2.01 "yes" "Chawia"
"male" 0.83 0.12 10 35 1.67 "no" "Chawia"
"male" 0.49 0.77 8 6 1.63 "yes" "Chawia"
"male" 0.94 0.32 11 9 1.54 "no" "Ngangao S"
"female" 0.39 0.37 11 31 2.37 "yes" "Chawia"
"female" 0.36 0.86 25 36 1.92 "yes" "Ngangao S"
"female" 0.3 0.74 17 24 2.15 "yes" "Ngangao N"
"male" 0.72 0.75 20 7 1.54 "no" "Chawia"
"female" 0.39 0.7 16 27 2.19 "no" "Ngangao S"
"male" 0.52 0.92 5 34 1.56 "no" "Ngangao S"
"male" 0.48 0.19 21 21 1.91 "yes" "Chawia"
"female" 0.57 0.14 11 33 2.42 "yes" "Ngangao N"
"female" 0.52 0.87 8 40 1.99 "yes" "Ngangao N"
"male" 0.25 0.68 21 29 1.63 "no" "Ngangao N"
"female" 0.67 0.6 17 12 1.95 "no" "Ngangao S"
"female" 0.33 0.93 17 22 1.84 "no" "Ngangao N"
"male" 0.49 0.51 18 35 1.8 "no" "Ngangao N"
"female" 0.95 0.18 21 17 1.93 "yes" "Ngangao S"
"male" 0.81 0.81 20 14 1.45 "yes" "Chawia"
"female" 0.36 0.74 9 36 2.2 "no" "Chawia"
"female" 0.86 0.54 11 24 2.09 "no" "Ngangao N"
"female" 0.94 0.13 24 21 2 "no" "Ngangao S"
"male" 0.61 0.92 7 17 1.54 "no" "Ngangao S"
"male" 0.59 0.16 29 29 1.85 "yes" "Chawia"
"female" 0.47 0.71 18 27 2.02 "no" "Ngangao S"
"male" 0.59 0.81 25 34 1.44 "no" "Ngangao N"
"female" 0.79 0.36 21 12 2.07 "yes" "Ngangao S"
"female" 0.2 0.84 30 10 1.84 "no" "Ngangao N"
"male" 0.36 0.79 20 15 1.55 "no" "Chawia"
"male" 0.8 0.28 23 25 1.64 "yes" "Ngangao S"
"female" 0.62 0.54 6 38 2.15 "yes" "Ngangao S"
"male" 0.78 0.71 6 22 1.62 "yes" "Ngangao S"
"male" 0.35 0.44 22 11 1.85 "no" "Ngangao N"
"male" 0.78 0.47 10 12 1.72 "yes" "Chawia"
"female" 0.8 0.71 15 28 1.96 "no" "Ngangao N"
"male" 0.36 0.54 15 11 1.76 "yes" "Ngangao S"
"male" 0.53 0.33 26 33 1.76 "yes" "Ngangao S"
"male" 0.41 0.7 22 16 1.6 "yes" "Ngangao S"
"female" 0.58 0.14 23 35 2.32 "yes" "Ngangao N"
"female" 0.69 0.1 17 30 2.24 "no" "Ngangao N"
"female" 0.85 0.75 10 27 1.94 "no" "Chawia"
"female" 0.27 0.77 16 13 2.09 "no" "Chawia"
"male" 0.38 0.89 27 25 1.37 "no" "Ngangao S"
"female" 0.42 0.12 8 8 2.4 "no" "Chawia"
"female" 0.27 0.59 27 6 2.24 "no" "Chawia"
"male" 0.56 0.87 5 35 1.63 "yes" "Ngangao S"
"female" 0.45 0.26 8 18 2.68 "yes" "Chawia"
"male" 0.29 0.92 13 31 1.54 "yes" "Chawia"
"male" 0.6 0.34 21 16 1.68 "no" "Ngangao S"
"female" 0.6 0.22 13 8 2.39 "no" "Ngangao N"
"male" 0.79 0.71 26 20 1.44 "yes" "Ngangao S"
"male" 0.31 0.12 5 13 2.29 "no" "Chawia"
"male" 0.79 0.73 27 27 1.44 "no" "Ngangao S"
"female" 0.58 0.11 29 12 2.4 "yes" "Chawia"
"female" 0.91 0.36 10 29 2.09 "yes" "Chawia"
"female" 0.7 0.2 11 32 2.4 "yes" "Chawia"
"female" 0.72 0.82 20 7 1.93 "no" "Chawia"
"male" 0.41 0.29 22 35 1.9 "yes" "Ngangao N"
"female" 0.27 0.14 7 21 2.76 "yes" "Ngangao S"
"female" 0.87 0.59 23 12 1.83 "no" "Ngangao S"
"male" 0.39 0.1 24 11 2.01 "yes" "Ngangao S"
"male" 0.78 0.81 10 14 1.52 "no" "Ngangao N"
"female" 0.52 0.76 14 28 2.03 "no" "Chawia"
"female" 0.3 0.46 15 35 2.49 "yes" "Ngangao S"
"female" 0.48 0.44 29 13 2.2 "no" "Ngangao S"
"male" 0.31 0.84 23 28 1.47 "no" "Ngangao S"
"male" 0.23 0.23 11 28 2.17 "yes" "Ngangao S"
"male" 0.91 0.23 6 5 1.68 "yes" "Chawia"
"female" 0.39 0.94 15 28 1.98 "no" "Chawia"
"female" 0.87 0.84 15 8 1.98 "yes" "Ngangao N"
"male" 0.46 0.5 23 11 1.67 "yes" "Ngangao S"
"male" 0.48 0.7 16 31 1.62 "yes" "Chawia"
"female" 0.39 0.26 29 21 2.31 "no" "Chawia"
"female" 0.79 0.49 13 34 2.07 "no" "Ngangao S"
"female" 0.84 0.64 19 24 1.97 "no" "Ngangao S"
"female" 0.87 0.34 6 7 2.14 "yes" "Ngangao S"
"male" 0.79 0.14 27 5 1.6 "no" "Ngangao N"
"male" 0.27 0.41 14 15 2.06 "no" "Ngangao N"
"male" 0.5 0.61 8 33 1.72 "no" "Chawia"
"male" 0.61 0.72 27 25 1.46 "yes" "Chawia"
"female" 0.63 0.11 28 19 2.22 "no" "Ngangao N"
"female" 0.21 0.24 9 20 2.71 "yes" "Ngangao S"
"female" 0.78 0.27 16 19 2.09 "yes" "Chawia"
"male" 0.45 0.53 25 16 1.69 "no" "Chawia"
"female" 0.79 0.93 23 17 1.8 "no" "Ngangao S"
"female" 0.63 0.71 30 22 1.93 "yes" "Ngangao N"
"male" 0.31 0.33 29 15 1.91 "yes" "Chawia"
"female" 0.43 0.37 14 33 2.3 "no" "Chawia"
"male" 0.4 0.84 10 14 1.58 "no" "Ngangao S"
"female" 0.33 0.26 16 14 2.24 "no" "Chawia"
"female" 0.92 0.66 30 31 1.77 "yes" "Ngangao S"
"female" 0.26 0.29 16 10 2.59 "no" "Ngangao S"
"male" 0.37 0.76 12 10 1.71 "no" "Chawia"
"male" 0.87 0.9 14 15 1.48 "no" "Ngangao N"
"female" 0.44 0.28 19 8 2.36 "yes" "Chawia"
"female" 0.48 0.9 12 19 1.94 "no" "Ngangao N"
"male" 0.95 0.78 18 31 1.45 "yes" "Ngangao N"
"male" 0.9 0.7 16 32 1.45 "yes" "Ngangao N"
"male" 0.4 0.4 30 26 1.76 "yes" "Chawia"
"female" 0.5 0.92 21 25 1.9 "yes" "Chawia"
"female" 0.67 0.82 18 20 1.92 "yes" "Ngangao N"
"male" 0.38 0.18 22 36 1.92 "no" "Ngangao N"
"female" 0.4 0.58 25 18 2.25 "yes" "Ngangao S"
"male" 0.92 0.41 25 12 1.46 "no" "Ngangao N"
"female" 0.25 0.49 24 15 2.29 "yes" "Ngangao S"
"female" 0.31 0.39 5 29 2.39 "no" "Ngangao N"
"female" 0.65 0.77 18 15 1.92 "no" "Ngangao N"
"male" 0.79 0.53 18 15 1.55 "yes" "Ngangao S"
"male" 0.5 0.89 20 38 1.47 "no" "Chawia"
"male" 0.79 0.41 24 15 1.49 "no" "Ngangao N"
"male" 0.32 0.32 29 40 1.95 "yes" "Chawia"
"male" 0.65 0.72 30 8 1.43 "yes" "Ngangao S"
"female" 0.4 0.53 10 40 2.15 "no" "Chawia"
"male" 0.59 0.2 20 38 1.83 "yes" "Ngangao S"
"male" 0.35 0.8 27 19 1.47 "no" "Chawia"
"male" 0.41 0.23 17 30 1.93 "yes" "Ngangao N"
"female" 0.66 0.39 13 38 2.35 "no" "Ngangao N"
"male" 0.77 0.46 23 17 1.52 "yes" "Chawia"
"male" 0.57 0.85 6 30 1.61 "no" "Ngangao S"
"female" 0.63 0.21 15 16 2.33 "no" "Ngangao N"
"male" 0.67 0.57 15 5 1.6 "no" "Ngangao S"
"male" 0.79 0.71 6 24 1.64 "yes" "Ngangao N"
"male" 0.79 0.41 11 24 1.67 "yes" "Chawia"
"male" 0.45 0.77 16 21 1.55 "no" "Ngangao S"
"female" 0.32 0.61 22 36 2.15 "no" "Ngangao S"
"male" 0.76 0.17 24 36 1.64 "no" "Ngangao N"
"male" 0.89 0.62 27 13 1.38 "yes" "Ngangao S"
"female" 0.52 0.5 9 29 2.49 "no" "Ngangao S"
"female" 0.75 0.68 6 39 2.05 "yes" "Ngangao N"
"male" 0.47 0.57 12 16 1.84 "yes" "Ngangao N"
"male" 0.79 0.51 10 25 1.68 "yes" "Ngangao S"
"female" 0.72 0.3 21 40 2.21 "yes" "Chawia"
"female" 0.75 0.44 6 33 2.34 "yes" "Chawia"
"male" 0.73 0.36 14 6 1.71 "yes" "Ngangao S"
"male" 0.36 0.68 6 6 1.78 "no" "Chawia"
"female" 0.35 0.23 24 40 2.44 "no" "Ngangao S"
"female" 0.89 0.32 16 23 2 "yes" "Chawia"
"female" 0.83 0.84 16 19 1.88 "no" "Ngangao S"
"female" 0.39 0.29 21 22 2.39 "no" "Ngangao S"
"female" 0.52 0.31 22 12 2.24 "yes" "Ngangao S"
"female" 0.43 0.31 8 36 2.32 "yes" "Chawia"
"female" 0.46 0.34 15 39 2.51 "yes" "Ngangao S"
"male" 0.94 0.1 21 16 1.55 "yes" "Ngangao N"
"female" 0.27 0.5 8 38 2.4 "no" "Ngangao N"
"female" 0.43 0.35 13 15 2.45 "yes" "Ngangao S"
"male" 0.83 0.66 5 38 1.65 "no" "Ngangao N"
"female" 0.61 0.81 24 14 1.93 "yes" "Chawia"
"female" 0.43 0.37 30 19 2.32 "yes" "Ngangao S"
"male" 0.37 0.78 24 19 1.53 "yes" "Chawia"
"female" 0.63 0.75 17 9 1.96 "yes" "Ngangao N"
"male" 0.58 0.55 21 20 1.61 "no" "Ngangao N"
"female" 0.51 0.28 17 16 2.34 "yes" "Ngangao S"
"female" 0.43 0.82 23 5 2.02 "yes" "Chawia"
"female" 0.83 0.9 11 34 2.02 "yes" "Ngangao S"
"female" 0.36 0.46 26 8 2.34 "yes" "Ngangao N"
"female" 0.65 0.32 13 23 2.28 "yes" "Ngangao S"
"male" 0.82 0.68 29 6 1.41 "yes" "Ngangao N"
"male" 0.32 0.67 15 7 1.75 "yes" "Ngangao N"
"male" 0.81 0.36 6 17 1.72 "yes" "Ngangao N"
"female" 0.32 0.42 9 8 2.46 "no" "Chawia"
"male" 0.55 0.81 9 12 1.62 "yes" "Ngangao S"
"female" 0.67 0.75 17 17 1.95 "no" "Ngangao S"
"male" 0.51 0.76 21 9 1.5 "yes" "Chawia"
"male" 0.7 0.82 28 24 1.37 "no" "Ngangao N"
"male" 0.4 0.67 23 20 1.58 "yes" "Ngangao S"
"female" 0.24 0.66 8 30 2.18 "no" "Ngangao N"
"male" 0.76 0.26 6 31 1.75 "yes" "Ngangao S"
"female" 0.8 0.26 20 26 2.16 "no" "Chawia"
"male" 0.68 0.22 16 38 1.77 "yes" "Ngangao N"
"female" 0.34 0.84 26 33 1.89 "yes" "Ngangao S"
"female" 0.57 0.63 20 29 2.1 "yes" "Chawia"
"male" 0.84 0.54 10 12 1.62 "no" "Ngangao S"
"female" 0.84 0.92 21 12 1.82 "no" "Ngangao N"
"female" 0.6 0.19 12 28 2.28 "yes" "Ngangao S"
"female" 0.45 0.9 14 14 2.02 "no" "Ngangao N"
"male" 0.22 0.15 17 40 2.25 "yes" "Chawia"
"female" 0.53 0.6 21 10 2.14 "yes" "Ngangao S"
"male" 0.68 0.13 9 10 1.97 "yes" "Ngangao S"
"female" 0.85 0.13 19 36 2.1 "no" "Ngangao S"
"female" 0.49 0.76 10 31 2.03 "no" "Chawia"
"male" 0.57 0.74 13 19 1.58 "yes" "Ngangao S"
"male" 0.55 0.49 26 11 1.66 "no" "Chawia"
"male" 0.64 0.18 19 23 1.82 "no" "Ngangao S"
"male" 0.76 0.39 28 22 1.52 "yes" "Chawia"
"male" 0.78 0.38 7 9 1.72 "no" "Ngangao S"
"female" 0.75 0.74 13 37 2 "yes" "Ngangao S"
"female" 0.24 0.17 5 15 2.56 "yes" "Ngangao N"
"male" 0.83 0.87 12 21 1.47 "yes" "Chawia"
"female" 0.58 0.87 20 31 1.89 "no" "Ngangao N"
"male" 0.76 0.76 17 15 1.51 "yes" "Ngangao S"
"female" 0.36 0.74 19 18 2.1 "yes" "Chawia"
"male" 0.21 0.85 24 28 1.51 "yes" "Ngangao N"
